ts,x,y,z
1700252083239,0.0031803735,0.0010917126,0.046103843
1700252083282,0.0025391616,0.0010662335,0.04588202
1700252083305,0.0025206488,0.0011445405,0.04619873
1700252083342,0.0026295837,0.001196262,0.04661835
1700252083378,0.0023794211,0.0014190208,0.04714049
1700252083407,0.002440581,0.0014756396,0.047357693
1700252083440,0.0024818256,0.0015077991,0.047589798
1700252083476,0.0020328015,0.0016899421,0.048144862
1700252083506,0.002096611,0.0016882261,0.0480106
1700252083542,0.002241644,0.0016477122,0.04779934
1700252083578,0.0019126041,0.0016807886,0.04779807
1700252083606,0.0019300757,0.0016340544,0.047275204
1700252083640,0.001931522,0.0015530596,0.046724293
1700252083676,0.0015465757,0.0015325095,0.046681777
1700252083708,0.0015749633,0.0015388657,0.046635233
1700252083739,0.0016136654,0.0015542721,0.046809774
1700252083779,0.0013715494,0.0018207552,0.04772734
1700252083814,0.0014329897,0.0018544598,0.04799769
1700252083838,0.0015767803,0.0017978791,0.04790157
1700252083871,0.0014338987,0.0019257492,0.048664056
1700252083904,0.0025451528,0.0018228265,0.04852846
1700252083930,0.003031929,0.0015928294,0.04735452
1700252083974,0.0030576987,0.0018418599,0.0470173
1700252084007,0.0030443985,0.0019350476,0.047566593
1700252084048,0.002956774,0.002144116,0.04839994
1700252084073,0.003075947,0.002149301,0.048690706
1700252084107,0.0033680582,0.0023175469,0.049193155
1700252084142,0.0034931358,0.002622601,0.05019036
1700252084179,0.0023998506,0.0031166538,0.04930779
1700252084210,7.363539E-4,0.003950997,0.04928175
1700252084240,-0.001516886,0.0052265637,0.048705734
1700252084280,-0.0040848684,0.007371863,0.047744926
1700252084307,-0.0072799027,0.009299073,0.046358697
1700252084340,-0.011105999,0.011661625,0.044289645
1700252084375,-0.015743377,0.014502816,0.042214327
1700252084405,-0.020556951,0.016970726,0.039608486
1700252084444,-0.02537374,0.019149413,0.03628298
1700252084480,-0.03078992,0.021441136,0.03273423
1700252084506,-0.035584334,0.023172354,0.028084692
1700252084546,-0.041078616,0.025181897,0.023221247
1700252084576,-0.047613323,0.02779595,0.01784895
1700252084611,-0.054302156,0.030506415,0.012031055
1700252084642,-0.061172836,0.033238232,0.005743225
1700252084679,-0.06847668,0.035485446,-0.0013898937
1700252084706,-0.07552922,0.037877798,-0.009137979
1700252084741,-0.08263168,0.040157042,-0.01742459
1700252084779,-0.08991334,0.042723708,-0.02629491
1700252084811,-0.09717972,0.045081075,-0.035470948
1700252084839,-0.10456857,0.04766637,-0.0451026
1700252084874,-0.11266697,0.05128034,-0.05573107
1700252084912,-0.12109548,0.05610052,-0.06613906
1700252084939,-0.13030784,0.06264408,-0.076242074
1700252084976,-0.14159065,0.07171364,-0.08552811
1700252085006,-0.15299875,0.08143689,-0.09227376
1700252085040,-0.16502276,0.09139113,-0.09679724
1700252085076,-0.17661704,0.10195497,-0.09919079
1700252085109,-0.188245,0.11261245,-0.09957007
1700252085142,-0.19943096,0.12344822,-0.09816907
1700252085178,-0.2100756,0.1343972,-0.0945286
1700252085208,-0.21925628,0.14611495,-0.089706436
1700252085245,-0.22871993,0.15806727,-0.08321678
1700252085282,-0.23797938,0.16990699,-0.07572587
1700252085310,-0.24502553,0.181006,-0.06568381
1700252085342,-0.25127885,0.19201623,-0.053988438
1700252085380,-0.25881666,0.20349084,-0.041179687
1700252085412,-0.26616064,0.21542627,-0.025339883
1700252085443,-0.27335766,0.22675508,-0.008455356
1700252085476,-0.28048402,0.23730099,0.007177568
